(CMP1, PBSS2)
(PBSS2, CSS3)
(CSS3, HER2)
(HER2, PRDR1)
(PRDR1, SLZ3)
(SLZ3, DQL1)
(DQL1, ALXH3)
(ALXH3, BTLH1)
(BTLH1, PRDJ)
(PRDJ, PRFL)
(PRFL, GGF)
(GGF, CMO)
(CMO, HSA5)
(HSA5, PAL2)
(PAL2, PRG4)
(PRG4, JM1)
(JM1, GGT1)
(GGT1, PLNT1)
(PLNT1, CART1)
(CART1, JB1)
(JB1, LRD1)
(LRD1, ALX1)
(ALX1, STC1)
(STC1, FLU4)
(FLU4, PGM1)
(PGM1, PJUV1)
(PJUV1, PT3)
(PT3, CMPT1)
(CMPT1, INSA1)
(INSA1, BPTL1)
(BPTL1, SRVM1)
(SRVM1, AALB1)
(AALB1, JBR1)
(JBR1, PVC1)
(PVC1, PRI1)
(PRI1, MFZ1)
(C24A3, PDR3)
(PDR3, COLS)
(COLS, PRDJ)
(PRDJ, PRFL)
(PRFL, GGF)
(GGF, CMO)
(CMO, HSA5)
(HSA5, PAL3)
(PAL3, PRG1)
(PRG1, BS1)
(BS1, BVCT1)
(BVCT1, CZV3)
(CZV3, RA1)
(RA1, MRR1)
(MRR1, MTCV)
(MTCV, CTP)
(CTP, AQL2)
(AQL2, FG2)
(FG2, MPL11)
(MPL11, RALG)
(RALG, SI1)
(SI1, ESCN1)
(ESCN1, MOR1)
(MOR1, RFZ)
(RFZ, MRD)
(MRD, C24A3)
(C24A4, )
(PDR4, C24A4)
(SLZ1, PDR4)
(BTLH6, SLZ1)
(LPDZ, BTLH6)
(SBNT2, LPDZ)
(CORD7, SBNT2)
(HSA, CORD7)
(PAL4, HSA)
(PRG2, PAL4)
(BS2, PRG2)
(BVCM3, BS2)
(BCM1, BVCM3)
(CZV4, BCM1)
(RA2, CZV4)
(SP, RA2)
(BCG, SP)
(BSB, BCG)
(PISC, BSB)
(AQL1, PISC)
(FG1, AQL1)
(MPL7, FG1)
(AUS, MPL7)
(SI2, AUS)
(ESCN2, SI2)
(MOR2, ESCN2)
(RFZ1, MOR2)
(DJOA4, RFZ1)
(BLRB4, SCAT1)
(SCAT1, PDR)
(PDR, C24A2)
(C24A2, BFM1)
(BFM1, GDM1)
(GDM1, PRF1)
(PRF1, A25A1)
(A25A1, FVLH1)
(FVLH1, EDRG3)
(EDRG3, CRJ1)
(CRJ1, FSTO1)
(FSTO1, FALC)
(FALC, CRT2)
(CRT2, ESCL)
(ESCL, SR1)
(SR1, TPT1)
(TPT1, SCT3)
(SCT3, SCAL1)
(SCAL1, CHV1)
(CHV1, CVN1)
(CVN1, SSB1)
(SSB1, VDN1)
(VDN1, FRR1)
(FRR1, CRR1)
(CRR1, PTHS1)
(PTHS1, VFRR1)
(VFRR1, ECC1)
(ECC1, RGD1)
(RGD1, SXO1)
(SXO1, AGAS1)
(AGAS1, MTP1)
(MTP1, EDM1)
(EDM1, ASRR1)
(ASRR1, RCMB1)
(RCMB1, FTSR1)
(FTSR1, GCR1)
(GCR1, VCHS1)
(VCHS1, 25AB1)
(25AB1, PAV1)
(PAV1, CLVR1)
(CLVR1, CMV)
(CMV, VALC1)
(VALC1, PDR1)
(PDR1, PRS1)
(PRS1, AGN)
(AGN, VLGE1)
(VLGE1, AF1)
(AF1, CHA1)
(CHA1, PAME1)
(PAME1, PSEC1)
(PSEC1, CMPO1)
(CMS2, BCM1)
(BCM1, AGM1)
(AGM1, ACRD1)
(ACRD1, BSS3)
(BSS3, FOCO2)
(FOCO2, PINM5)
(PINM5, SJB1)
(SJB1, IRM1)
(IRM1, CRM1)
(CRM1, EFRD2)
(EFRD2, MPAZ3)
(MPAZ3, MPAZ4)
(MPAZ4, MPAZ5)
(MPAZ5, IMTT1)
(IMTT1, VIS2)
(VIS2, VIS1)
(VIS1, JAZ1)
(JAZ1, SETB1)
(SETB1, SRP3)
(SRP3, RSR3)
(RSR3, QCM3)
(QCM3, LND1)
(LND1, CSSH1)
(CSSH1, VGM3)
(VGM3, RLG3)
(RLG3, FTCC5)
(FTCC5, TPM1)
(TPM1, PSSM1)
(PSSM1, GUIF1)
(GUIF1, 1MN1)
(1MN1, RGDU)
(RGDU, RBO1)
(RBO1, ABL1)
(ABL1, LMB1)
(LMB1, PCRR1)
(PCRR1, LMBG1)
(LMBG1, RFER1)
(RFER1, RBHR1)
(RBHR1, RPPC1)
(RPPC1, GATS1)
(HSJ12, IPO5)
(IPO5, ST4)
(ST4, IB2)
(IB2, ISEP2)
(ISEP2, AVTE2)
(AVTE2, TLHR3)
(TLHR3, MIS4)
(MIS4, BRA5)
(BRA5, STLZ2)
